template_file,placeholder
40_qredits_maandlasten.md.tpl,dscr_below_1_count
40_qredits_maandlasten.md.tpl,dscr_maand_min
40_qredits_maandlasten.md.tpl,dscr_min
40_qredits_maandlasten.md.tpl,dscr_verdict
40_qredits_maandlasten.md.tpl,grace_mnd
40_qredits_maandlasten.md.tpl,hoofdsom
40_qredits_maandlasten.md.tpl,lening_count
40_qredits_maandlasten.md.tpl,leningen
40_qredits_maandlasten.md.tpl,looptijd_mnd
40_qredits_maandlasten.md.tpl,maandlast_dekking
40_qredits_maandlasten.md.tpl,rente_effectief_jaar
40_qredits_maandlasten.md.tpl,rente_nominaal_jr
40_qredits_maandlasten.md.tpl,rente_nominaal_maand
40_qredits_maandlasten.md.tpl,rente_totaal
40_qredits_maandlasten.md.tpl,restschuld_einde
40_qredits_maandlasten.md.tpl,stress_dscr_below_1_count
40_qredits_maandlasten.md.tpl,stress_dscr_min
40_qredits_maandlasten.md.tpl,stress_dscr_verdict
40_qredits_maandlasten.md.tpl,termijn_bedrag
40_qredits_maandlasten.md.tpl,verstrekker
50_belastingen.md.tpl,belastingdruk_pct
50_belastingen.md.tpl,btw_model
50_belastingen.md.tpl,btw_pct
50_belastingen.md.tpl,btw_totaal
50_belastingen.md.tpl,btw_vrij
50_belastingen.md.tpl,indicatieve_heffing_jaar
50_belastingen.md.tpl,kor
50_belastingen.md.tpl,mkb_vrijstelling_pct
50_belastingen.md.tpl,regime
50_belastingen.md.tpl,stress_heffing_range
50_belastingen.md.tpl,stress_kasimpact
50_belastingen.md.tpl,vat_period
60_pricing.md.tpl,cac_eur
60_pricing.md.tpl,eenheden_pm
60_pricing.md.tpl,marge_basis
60_pricing.md.tpl,marge_min10
60_pricing.md.tpl,marge_per_eenheid
60_pricing.md.tpl,marge_plus10
60_pricing.md.tpl,marge_pm
60_pricing.md.tpl,marge_pricevol1
60_pricing.md.tpl,marge_pricevol2
60_pricing.md.tpl,naam
60_pricing.md.tpl,omzet_basis
60_pricing.md.tpl,omzet_min10
60_pricing.md.tpl,omzet_plus10
60_pricing.md.tpl,omzet_pm
60_pricing.md.tpl,omzet_pricevol1
60_pricing.md.tpl,omzet_pricevol2
60_pricing.md.tpl,omzetstromen
60_pricing.md.tpl,payback_maanden
60_pricing.md.tpl,prijs
60_pricing.md.tpl,prijs_basis
60_pricing.md.tpl,prijs_min10
60_pricing.md.tpl,prijs_per_eenheid
60_pricing.md.tpl,prijs_plus10
60_pricing.md.tpl,runway_basis
60_pricing.md.tpl,runway_min10
60_pricing.md.tpl,runway_plus10
60_pricing.md.tpl,volume_basis
60_pricing.md.tpl,volume_min10
60_pricing.md.tpl,volume_plus15
60_pricing.md.tpl,volume_pm
70_breakeven.md.tpl,breakeven\_eenheden\_pm
70_breakeven.md.tpl,breakeven\_omzet\_pm
70_breakeven.md.tpl,breakeven_eenheden_pm
70_breakeven.md.tpl,breakeven_omzet_min10_marge
70_breakeven.md.tpl,breakeven_omzet_plus10_opex
70_breakeven.md.tpl,breakeven_omzet_pm
70_breakeven.md.tpl,marge_pct
70_breakeven.md.tpl,marge_per_eenheid
70_breakeven.md.tpl,omzet_basis
70_breakeven.md.tpl,prijs_per_eenheid
70_breakeven.md.tpl,variabele_kosten_per_eenheid
70_breakeven.md.tpl,vaste_kosten_pm
70_breakeven.md.tpl,veiligheidsmarge_pct
80_unit_economics.md.tpl,breakeven_eenheden_pm
80_unit_economics.md.tpl,cac_eur
80_unit_economics.md.tpl,contrib_basis
80_unit_economics.md.tpl,contrib_min10
80_unit_economics.md.tpl,contrib_plus10
80_unit_economics.md.tpl,contribution_margin
80_unit_economics.md.tpl,dekking_pct
80_unit_economics.md.tpl,eenheden_pm
80_unit_economics.md.tpl,ltv_cac_pricemin10
80_unit_economics.md.tpl,ltv_cac_ratio
80_unit_economics.md.tpl,ltv_cac_varplus10
80_unit_economics.md.tpl,ltv_eur
80_unit_economics.md.tpl,marge_basis
80_unit_economics.md.tpl,marge_min10
80_unit_economics.md.tpl,marge_pct
80_unit_economics.md.tpl,marge_pct_basis
80_unit_economics.md.tpl,marge_pct_min10
80_unit_economics.md.tpl,marge_pct_plus10
80_unit_economics.md.tpl,marge_per_eenheid
80_unit_economics.md.tpl,marge_plus10
80_unit_economics.md.tpl,marge_pricemin10
80_unit_economics.md.tpl,marge_varplus10
80_unit_economics.md.tpl,payback_maanden
80_unit_economics.md.tpl,prijs_basis
80_unit_economics.md.tpl,prijs_min10
80_unit_economics.md.tpl,prijs_per_eenheid
80_unit_economics.md.tpl,prijs_plus10
80_unit_economics.md.tpl,var_basis
80_unit_economics.md.tpl,variabele_kosten_per_eenheid
80_unit_economics.md.tpl,vaste_kosten_pm
90_working_capital.md.tpl,borg_depositos
90_working_capital.md.tpl,crediteuren_openstaand
90_working_capital.md.tpl,debiteuren_openstaand
90_working_capital.md.tpl,kas_begin
90_working_capital.md.tpl,kas_na_stress_dso
90_working_capital.md.tpl,kas_na_stress_omzet
90_working_capital.md.tpl,kas_na_stress_opex
90_working_capital.md.tpl,stress_dso_plus30
90_working_capital.md.tpl,stress_omzet_min30
90_working_capital.md.tpl,stress_opex_plus20
90_working_capital.md.tpl,voorraad
90_working_capital.md.tpl,werkkapitaal_totaal
