template_file,placeholder,type,match_text,start_index,end_index
20_liquiditeit.md.tpl,laagste_kas,variable,{{laagste_kas}},504,519
20_liquiditeit.md.tpl,laagste_kas,variable,{{laagste_kas}},1606,1621
20_liquiditeit.md.tpl,laatste_maand,variable,{{laatste_maand}},466,483
20_liquiditeit.md.tpl,runway_maanden_base,variable,{{runway_maanden_base}},602,625
20_liquiditeit.md.tpl,stress_laagste_kas,variable,{{stress_laagste_kas}},1755,1777
20_liquiditeit.md.tpl,stress_runway_maanden,variable,{{stress_runway_maanden}},1790,1815
20_liquiditeit.md.tpl,vat_period,variable,{{vat_period}},791,805
30_exploitatie.md.tpl,afschrijving_totaal,variable,{{afschrijving_totaal}},596,619
30_exploitatie.md.tpl,breakeven_omzet_pm,variable,{{breakeven_omzet_pm}},1959,1981
30_exploitatie.md.tpl,brutomarge_pct,variable,{{brutomarge_pct}},498,516
30_exploitatie.md.tpl,brutomarge_totaal,variable,{{brutomarge_totaal}},475,496
30_exploitatie.md.tpl,ebitda_pm_avg,variable,{{ebitda_pm_avg}},742,759
30_exploitatie.md.tpl,horizon_maanden,variable,{{horizon_maanden}},391,410
30_exploitatie.md.tpl,maand_best,variable,{{maand_best}},862,876
30_exploitatie.md.tpl,maand_worst,variable,{{maand_worst}},929,944
30_exploitatie.md.tpl,nettowinst_pct,variable,{{nettowinst_pct}},778,796
30_exploitatie.md.tpl,omzet_totaal,variable,{{omzet_totaal}},437,453
30_exploitatie.md.tpl,opex_totaal,variable,{{opex_totaal}},555,570
30_exploitatie.md.tpl,rente_totaal,variable,{{rente_totaal}},642,658
30_exploitatie.md.tpl,resultaat_best,variable,{{resultaat_best}},840,858
30_exploitatie.md.tpl,resultaat_vb_totaal,variable,{{resultaat_vb_totaal}},687,710
30_exploitatie.md.tpl,resultaat_worst,variable,{{resultaat_worst}},906,925
30_exploitatie.md.tpl,stress_result_avg,variable,{{stress_result_avg}},2152,2173
30_exploitatie.md.tpl,stress_verdict,variable,{{stress_verdict}},2248,2266
30_exploitatie.md.tpl,stress_verlies_maanden,variable,{{stress_verlies_maanden}},2207,2233
30_exploitatie.md.tpl,veiligheidsmarge_pct,variable,{{veiligheidsmarge_pct}},2020,2044
30_exploitatie.md.tpl,verlies_maanden,variable,{{verlies_maanden}},978,997
30_exploitatie.md.tpl,verlies_verdict,variable,{{verlies_verdict}},999,1018
40_qredits_maandlasten.md.tpl,leningen,section_end,{{/leningen}},1137,1150
40_qredits_maandlasten.md.tpl,leningen,section_start,{{#leningen}},693,706
40_qredits_maandlasten.md.tpl,dscr_below_1_count,variable,{{dscr_below_1_count}},622,644
40_qredits_maandlasten.md.tpl,dscr_maand_min,variable,{{dscr_maand_min}},572,590
40_qredits_maandlasten.md.tpl,dscr_min,variable,{{dscr_min}},550,562
40_qredits_maandlasten.md.tpl,dscr_verdict,variable,{{dscr_verdict}},646,662
40_qredits_maandlasten.md.tpl,grace_mnd,variable,{{grace_mnd}},904,917
40_qredits_maandlasten.md.tpl,hoofdsom,variable,{{hoofdsom}},743,755
40_qredits_maandlasten.md.tpl,lening_count,variable,{{lening_count}},362,378
40_qredits_maandlasten.md.tpl,looptijd_mnd,variable,{{looptijd_mnd}},770,786
40_qredits_maandlasten.md.tpl,maandlast_dekking,variable,{{maandlast_dekking}},512,533
40_qredits_maandlasten.md.tpl,rente_effectief_jaar,variable,{{rente_effectief_jaar}},1059,1083
40_qredits_maandlasten.md.tpl,rente_nominaal_jr,variable,{{rente_nominaal_jr}},815,836
40_qredits_maandlasten.md.tpl,rente_nominaal_maand,variable,{{rente_nominaal_maand}},848,872
40_qredits_maandlasten.md.tpl,rente_totaal,variable,{{rente_totaal}},998,1014
40_qredits_maandlasten.md.tpl,restschuld_einde,variable,{{restschuld_einde}},1116,1136
40_qredits_maandlasten.md.tpl,stress_dscr_below_1_count,variable,{{stress_dscr_below_1_count}},1805,1834
40_qredits_maandlasten.md.tpl,stress_dscr_min,variable,{{stress_dscr_min}},1752,1771
40_qredits_maandlasten.md.tpl,stress_dscr_verdict,variable,{{stress_dscr_verdict}},1851,1874
40_qredits_maandlasten.md.tpl,termijn_bedrag,variable,{{termijn_bedrag}},430,448
40_qredits_maandlasten.md.tpl,termijn_bedrag,variable,{{termijn_bedrag}},941,959
40_qredits_maandlasten.md.tpl,verstrekker,variable,{{verstrekker}},711,726
50_belastingen.md.tpl,indicatieve_heffing_jaar,section_end,{{/indicatieve_heffing_jaar}},1777,1806
50_belastingen.md.tpl,indicatieve_heffing_jaar,section_start,{{#indicatieve_heffing_jaar}},1650,1679
50_belastingen.md.tpl,belastingdruk_pct,variable,{{belastingdruk_pct}},633,654
50_belastingen.md.tpl,btw_model,variable,{{btw_model}},415,428
50_belastingen.md.tpl,btw_pct,variable,{{btw_pct}},387,398
50_belastingen.md.tpl,btw_pct,variable,{{btw_pct}},942,953
50_belastingen.md.tpl,btw_totaal,variable,{{btw_totaal}},695,709
50_belastingen.md.tpl,btw_vrij,variable,{{btw_vrij}},512,524
50_belastingen.md.tpl,btw_vrij,variable,{{btw_vrij}},1266,1278
50_belastingen.md.tpl,indicatieve_heffing_jaar,variable,{{indicatieve_heffing_jaar}},1748,1776
50_belastingen.md.tpl,kor,variable,{{kor}},482,489
50_belastingen.md.tpl,kor,variable,{{kor}},1092,1099
50_belastingen.md.tpl,mkb_vrijstelling_pct,variable,{{mkb_vrijstelling_pct}},552,576
50_belastingen.md.tpl,mkb_vrijstelling_pct,variable,{{mkb_vrijstelling_pct}},1400,1424
50_belastingen.md.tpl,regime,variable,{{regime}},360,370
50_belastingen.md.tpl,regime,variable,{{regime}},774,784
50_belastingen.md.tpl,stress_heffing_range,variable,{{stress_heffing_range}},1921,1945
50_belastingen.md.tpl,stress_kasimpact,variable,{{stress_kasimpact}},1991,2011
50_belastingen.md.tpl,vat_period,variable,{{vat_period}},443,457
60_pricing.md.tpl,omzetstromen,section_end,{{/omzetstromen}},747,764
60_pricing.md.tpl,omzetstromen,section_start,{{#omzetstromen}},626,643
60_pricing.md.tpl,cac_eur,variable,{{cac_eur}},512,523
60_pricing.md.tpl,eenheden_pm,variable,{{eenheden_pm}},378,393
60_pricing.md.tpl,marge_basis,variable,{{marge_basis}},1343,1358
60_pricing.md.tpl,marge_basis,variable,{{marge_basis}},1968,1983
60_pricing.md.tpl,marge_min10,variable,{{marge_min10}},1246,1261
60_pricing.md.tpl,marge_per_eenheid,variable,{{marge_per_eenheid}},455,476
60_pricing.md.tpl,marge_plus10,variable,{{marge_plus10}},1440,1456
60_pricing.md.tpl,marge_pm,variable,{{marge_pm}},734,746
60_pricing.md.tpl,marge_pricevol1,variable,{{marge_pricevol1}},1871,1890
60_pricing.md.tpl,marge_pricevol2,variable,{{marge_pricevol2}},2074,2093
60_pricing.md.tpl,naam,variable,{{naam}},648,656
60_pricing.md.tpl,omzet_basis,variable,{{omzet_basis}},413,428
60_pricing.md.tpl,omzet_basis,variable,{{omzet_basis}},1325,1340
60_pricing.md.tpl,omzet_basis,variable,{{omzet_basis}},1950,1965
60_pricing.md.tpl,omzet_min10,variable,{{omzet_min10}},1228,1243
60_pricing.md.tpl,omzet_plus10,variable,{{omzet_plus10}},1422,1438
60_pricing.md.tpl,omzet_pm,variable,{{omzet_pm}},713,725
60_pricing.md.tpl,omzet_pricevol1,variable,{{omzet_pricevol1}},1849,1868
60_pricing.md.tpl,omzet_pricevol2,variable,{{omzet_pricevol2}},2052,2071
60_pricing.md.tpl,payback_maanden,variable,{{payback_maanden}},575,594
60_pricing.md.tpl,prijs,variable,{{prijs}},668,677
60_pricing.md.tpl,prijs_basis,variable,{{prijs_basis}},1305,1320
60_pricing.md.tpl,prijs_basis,variable,{{prijs_basis}},1913,1928
60_pricing.md.tpl,prijs_min10,variable,{{prijs_min10}},1208,1223
60_pricing.md.tpl,prijs_min10,variable,{{prijs_min10}},1811,1826
60_pricing.md.tpl,prijs_per_eenheid,variable,{{prijs_per_eenheid}},324,345
60_pricing.md.tpl,prijs_plus10,variable,{{prijs_plus10}},1402,1418
60_pricing.md.tpl,prijs_plus10,variable,{{prijs_plus10}},2014,2030
60_pricing.md.tpl,runway_basis,variable,{{runway_basis}},1366,1382
60_pricing.md.tpl,runway_min10,variable,{{runway_min10}},1269,1285
60_pricing.md.tpl,runway_plus10,variable,{{runway_plus10}},1463,1480
60_pricing.md.tpl,volume_basis,variable,{{volume_basis}},1931,1947
60_pricing.md.tpl,volume_min10,variable,{{volume_min10}},2033,2049
60_pricing.md.tpl,volume_plus15,variable,{{volume_plus15}},1829,1846
60_pricing.md.tpl,volume_pm,variable,{{volume_pm}},687,700
70_breakeven.md.tpl,breakeven\_eenheden\_pm,variable,{{breakeven\_eenheden\_pm}},742,769
70_breakeven.md.tpl,breakeven\_omzet\_pm,variable,{{breakeven\_omzet\_pm}},781,805
70_breakeven.md.tpl,breakeven_eenheden_pm,variable,{{breakeven_eenheden_pm}},517,542
70_breakeven.md.tpl,breakeven_omzet_min10_marge,variable,{{breakeven_omzet_min10_marge}},1749,1780
70_breakeven.md.tpl,breakeven_omzet_plus10_opex,variable,{{breakeven_omzet_plus10_opex}},1664,1695
70_breakeven.md.tpl,breakeven_omzet_pm,variable,{{breakeven_omzet_pm}},573,595
70_breakeven.md.tpl,marge_pct,variable,{{marge_pct}},462,475
70_breakeven.md.tpl,marge_per_eenheid,variable,{{marge_per_eenheid}},439,460
70_breakeven.md.tpl,omzet_basis,variable,{{omzet_basis}},1256,1271
70_breakeven.md.tpl,prijs_per_eenheid,variable,{{prijs_per_eenheid}},391,412
70_breakeven.md.tpl,variabele_kosten_per_eenheid,variable,{{variabele_kosten_per_eenheid}},330,362
70_breakeven.md.tpl,vaste_kosten_pm,variable,{{vaste_kosten_pm}},278,297
70_breakeven.md.tpl,veiligheidsmarge_pct,variable,{{veiligheidsmarge_pct}},633,657
80_unit_economics.md.tpl,breakeven_eenheden_pm,variable,{{breakeven_eenheden_pm}},1763,1788
80_unit_economics.md.tpl,cac_eur,variable,{{cac_eur}},631,642
80_unit_economics.md.tpl,contrib_basis,variable,{{contrib_basis}},1426,1443
80_unit_economics.md.tpl,contrib_min10,variable,{{contrib_min10}},1535,1552
80_unit_economics.md.tpl,contrib_plus10,variable,{{contrib_plus10}},1647,1665
80_unit_economics.md.tpl,contribution_margin,variable,{{contribution_margin}},572,595
80_unit_economics.md.tpl,dekking_pct,variable,{{dekking_pct}},1854,1869
80_unit_economics.md.tpl,eenheden_pm,variable,{{eenheden_pm}},1797,1812
80_unit_economics.md.tpl,ltv_cac_pricemin10,variable,{{ltv_cac_pricemin10}},2075,2097
80_unit_economics.md.tpl,ltv_cac_ratio,variable,{{ltv_cac_ratio}},725,742
80_unit_economics.md.tpl,ltv_cac_varplus10,variable,{{ltv_cac_varplus10}},1979,2000
80_unit_economics.md.tpl,ltv_eur,variable,{{ltv_eur}},696,707
80_unit_economics.md.tpl,marge_basis,variable,{{marge_basis}},1386,1401
80_unit_economics.md.tpl,marge_min10,variable,{{marge_min10}},1495,1510
80_unit_economics.md.tpl,marge_pct,variable,{{marge_pct}},475,488
80_unit_economics.md.tpl,marge_pct_basis,variable,{{marge_pct_basis}},1404,1423
80_unit_economics.md.tpl,marge_pct_min10,variable,{{marge_pct_min10}},1513,1532
80_unit_economics.md.tpl,marge_pct_plus10,variable,{{marge_pct_plus10}},1624,1644
80_unit_economics.md.tpl,marge_per_eenheid,variable,{{marge_per_eenheid}},452,473
80_unit_economics.md.tpl,marge_per_eenheid,variable,{{marge_per_eenheid}},891,912
80_unit_economics.md.tpl,marge_plus10,variable,{{marge_plus10}},1605,1621
80_unit_economics.md.tpl,marge_pricemin10,variable,{{marge_pricemin10}},2044,2064
80_unit_economics.md.tpl,marge_varplus10,variable,{{marge_varplus10}},1949,1968
80_unit_economics.md.tpl,payback_maanden,variable,{{payback_maanden}},798,817
80_unit_economics.md.tpl,prijs_basis,variable,{{prijs_basis}},1352,1367
80_unit_economics.md.tpl,prijs_min10,variable,{{prijs_min10}},1461,1476
80_unit_economics.md.tpl,prijs_per_eenheid,variable,{{prijs_per_eenheid}},339,360
80_unit_economics.md.tpl,prijs_plus10,variable,{{prijs_plus10}},1570,1586
80_unit_economics.md.tpl,var_basis,variable,{{var_basis}},1370,1383
80_unit_economics.md.tpl,var_basis,variable,{{var_basis}},1479,1492
80_unit_economics.md.tpl,var_basis,variable,{{var_basis}},1589,1602
80_unit_economics.md.tpl,variabele_kosten_per_eenheid,variable,{{variabele_kosten_per_eenheid}},393,425
80_unit_economics.md.tpl,vaste_kosten_pm,variable,{{vaste_kosten_pm}},1732,1751
90_working_capital.md.tpl,borg_depositos,variable,{{borg_depositos}},481,499
90_working_capital.md.tpl,crediteuren_openstaand,variable,{{crediteuren_openstaand}},396,422
90_working_capital.md.tpl,debiteuren_openstaand,variable,{{debiteuren_openstaand}},337,362
90_working_capital.md.tpl,kas_begin,variable,{{kas_begin}},291,304
90_working_capital.md.tpl,kas_na_stress_dso,variable,{{kas_na_stress_dso}},900,921
90_working_capital.md.tpl,kas_na_stress_omzet,variable,{{kas_na_stress_omzet}},812,835
90_working_capital.md.tpl,kas_na_stress_opex,variable,{{kas_na_stress_opex}},986,1008
90_working_capital.md.tpl,stress_dso_plus30,variable,{{stress_dso_plus30}},864,885
90_working_capital.md.tpl,stress_omzet_min30,variable,{{stress_omzet_min30}},776,798
90_working_capital.md.tpl,stress_opex_plus20,variable,{{stress_opex_plus20}},950,972
90_working_capital.md.tpl,voorraad,variable,{{voorraad}},441,453
90_working_capital.md.tpl,werkkapitaal_totaal,variable,{{werkkapitaal_totaal}},530,553
